epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.936,1.62163,2.87308,1.69487,0.00853,0.98947,0.90943,0.53912,1.17121,3.03821,1.25355,0.00048,0.00048,0.00048
2,241.234,1.32018,1.73595,1.25074,1,0.36367,0.91559,0.5765,1.24992,2.85609,1.35739,0.00078596,0.00078596,0.00078596
3,359.358,1.2066,1.67776,1.2202,0.97749,0.98421,0.98428,0.67078,1.11764,1.90671,1.23871,0.00089392,0.00089392,0.00089392
4,476.994,1.1964,1.44587,1.16984,0.94564,0.97895,0.97962,0.68105,1.02692,1.41201,1.18008,0.00080388,0.00080388,0.00080388
5,593.631,1.08446,1.32649,1.12443,0.96135,0.98195,0.98362,0.7014,1.00323,1.34823,1.14424,0.000416,0.000416,0.000416
